review_id,employee_id,reviewer_id,review_date,rating,comments
1,1,6,2016-06-20,3,Needs improvement in communication
2,2,1,2017-10-06,5,Outstanding leadership shown this cycle
3,2,1,2018-05-03,3,Needs improvement in communication
4,2,1,2021-03-28,5,Needs improvement in communication
5,3,1,2017-10-03,3,Exceeds expectations on delivery timelines
6,4,2,2023-10-16,4,Solid technical contribution this quarter
7,4,2,2023-01-20,3,Needs improvement in communication
8,5,2,2020-11-10,4,Exceeds expectations on delivery timelines
9,6,1,2020-09-26,3,Requires closer supervision on task quality
10,6,1,2019-05-26,3,Solid technical contribution this quarter
11,6,1,2022-08-29,4,Needs improvement in communication
12,7,3,2020-03-22,3,Exceeds expectations on delivery timelines
13,7,3,2024-02-06,4,Solid technical contribution this quarter
14,7,3,2020-09-08,4,Solid technical contribution this quarter
15,8,3,2019-02-10,3,Requires closer supervision on task quality
16,8,3,2021-01-05,4,Outstanding leadership shown this cycle
17,9,1,2018-01-17,5,Needs improvement in communication
18,9,1,2025-05-12,4,Solid technical contribution this quarter
19,10,1,2021-02-05,4,Solid technical contribution this quarter
20,10,1,2023-04-29,5,Needs improvement in communication
21,11,1,2022-03-13,4,Outstanding leadership shown this cycle
22,11,1,2023-11-24,1,Consistently meets goals
23,11,1,2023-07-13,4,Strong collaboration with cross-functional teams
24,12,1,2020-09-25,2,Consistently meets goals
25,12,1,2026-03-27,4,Consistently meets goals
26,13,1,2025-08-10,3,Strong collaboration with cross-functional teams
27,13,1,2020-11-16,4,Solid technical contribution this quarter
28,14,1,2018-11-14,4,Strong collaboration with cross-functional teams
29,14,1,2024-02-17,5,Great growth since last review
30,14,1,2022-10-16,3,Requires closer supervision on task quality
31,15,1,2025-04-22,4,Exceeds expectations on delivery timelines
32,15,1,2018-03-23,5,Requires closer supervision on task quality
33,15,1,2022-03-09,3,Great growth since last review
34,16,6,2019-12-30,3,Exceeds expectations on delivery timelines
35,16,6,2020-09-20,3,Requires closer supervision on task quality
36,17,11,2023-11-21,5,Strong collaboration with cross-functional teams
37,17,11,2024-11-06,3,Solid technical contribution this quarter
38,18,6,2024-06-02,5,Solid technical contribution this quarter
39,18,6,2025-08-12,3,Great growth since last review
40,18,6,2026-04-07,4,Great growth since last review
41,19,10,2025-04-14,5,Strong collaboration with cross-functional teams
42,20,9,2025-04-14,3,Solid technical contribution this quarter
43,21,9,2026-06-06,5,Strong collaboration with cross-functional teams
44,21,9,2026-06-29,5,Great growth since last review
45,21,9,2026-05-21,2,Great growth since last review
46,22,13,2025-08-08,5,Great growth since last review
47,22,13,2025-08-25,3,Solid technical contribution this quarter
48,22,13,2024-11-02,4,Needs improvement in communication
49,23,15,2021-11-30,3,Great growth since last review
50,24,14,2021-01-12,4,Exceeds expectations on delivery timelines
51,24,14,2020-05-03,5,Outstanding leadership shown this cycle
52,25,8,2025-07-01,3,Solid technical contribution this quarter
53,25,8,2025-05-23,3,Exceeds expectations on delivery timelines
54,25,8,2026-06-18,3,Outstanding leadership shown this cycle
55,26,12,2025-10-07,5,Solid technical contribution this quarter
56,26,12,2022-05-30,3,Outstanding leadership shown this cycle
57,26,12,2024-09-05,4,Solid technical contribution this quarter
58,27,6,2024-04-19,4,Exceeds expectations on delivery timelines
59,27,6,2022-12-16,3,Outstanding leadership shown this cycle
60,27,6,2024-02-25,4,Strong collaboration with cross-functional teams
61,28,7,2025-03-05,4,Solid technical contribution this quarter
62,28,7,2021-05-30,4,Outstanding leadership shown this cycle
63,28,7,2022-02-06,4,Solid technical contribution this quarter
64,29,14,2023-09-28,5,Requires closer supervision on task quality
65,29,14,2023-10-18,4,Exceeds expectations on delivery timelines
66,29,14,2021-06-21,5,Needs improvement in communication
67,30,14,2022-12-26,2,Requires closer supervision on task quality
68,30,14,2022-12-05,4,Needs improvement in communication
69,30,14,2025-03-30,3,Exceeds expectations on delivery timelines
70,31,14,2026-03-23,3,Requires closer supervision on task quality
71,31,14,2022-06-29,2,Outstanding leadership shown this cycle
72,32,11,2025-10-20,4,Strong collaboration with cross-functional teams
73,32,11,2024-06-11,4,Needs improvement in communication
74,32,11,2022-07-19,4,Needs improvement in communication
75,33,6,2026-06-12,3,Requires closer supervision on task quality
76,33,6,2026-06-24,5,Outstanding leadership shown this cycle
77,33,6,2026-05-22,3,Requires closer supervision on task quality
78,34,7,2025-04-02,4,Requires closer supervision on task quality
79,35,9,2025-06-23,1,Outstanding leadership shown this cycle
80,36,13,2025-08-09,4,Great growth since last review
81,36,13,2026-06-07,3,Needs improvement in communication
